Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,1,1,0,1,0,,,,,1,0,0,,1,,1,0,,,,1,,0,0,0,1,,,,,,,20,,,,0,,,,3,,,2,0,17,,,,,,,,0,2,2,,,0,,,,,,,,,1,1,1,1,1,,,0,,,,"5.66667",1,1,1,1,1
File,"AMCommand.java",0,0,0,0,0,0,0,0,0,,,,,1,0,0,2,,0,2,2,,,,2,,0,0,0,2,,,,,,,59,,,,5,,,,14,,,13,0,40,,,,,,,,8,9,9,,,0,,,,,,,,,0,0,0,0,0,,,0,,,,"2.85714",0,0,0,0,0
File,"AddToClusterNodeLabelsRequest.java",1,1,1,1,1,9,0,9,0,,,,,1,2,0,2,,6,4,0,,,,6,,0,0,0,6,,,,,,,77,,,,9,,,,41,,,33,9,27,,,,,,,,18,21,16,,,7,,,,,,,,,1,1,1,1,1,,,0,,,,"0.658537",2,2,2,2,2
File,"AddToClusterNodeLabelsResponse.java",1,1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,,,,1,,0,0,0,1,,,,,,,31,,,,3,,,,11,,,8,1,17,,,,,,,,5,7,6,,,1,,,,,,,,,1,1,1,1,1,,,0,,,,"1.54545",1,1,1,1,1
File,"AllocateRequest.java",1,1,1,1,1,11,0,6,4,,,,,2,4,0,16,,30,26,1,,,,30,,0,1,0,29,,,,,,,411,,,,35,,,,179,,,127,35,197,,,,,,,,51,69,47,,,23,,,,,,,,,1,1,1,1,1,,,0,,,,"1.10056",16,16,16,16,16
File,"AllocateResponse.java",1,1,1,1,1,11,0,7,4,,,,,2,6,0,29,,59,53,1,,,,59,,0,1,0,58,,,,,,,717,,,,64,,,,350,,,248,73,303,,,,,,,,100,131,88,,,45,,,,,,,,,1,1,1,1,1,,,0,,,,"0.865714",29,29,29,29,29
File,"AllocationTagNamespaceType.java",0,0,0,0,0,2,0,2,0,,,,,1,0,0,5,,3,5,6,,,,5,,1,0,0,4,,,,,,,45,,,,6,,,,19,,,12,3,20,,,,,,,,6,9,6,,,3,,,,,,,,,1,1,1,1,1,,,0,,,,"1.05263",3,3,3,3,3
File,"Apache_Hadoop_YARN_API_2.10.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,22317,0,0,0,645,0,0,0,21256,0,0,,,416,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0195709",0,0,0,0,0
File,"Apache_Hadoop_YARN_API_2.10.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,22541,0,0,0,647,0,0,0,21478,0,0,,,416,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0193687",0,0,0,0,0
File,"Apache_Hadoop_YARN_API_2.6.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,13076,0,0,0,490,0,0,0,12282,0,0,,,304,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0247517",0,0,0,0,0
File,"Apache_Hadoop_YARN_API_2.7.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,13220,0,0,0,431,0,0,0,12513,0,0,,,276,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0220571",0,0,0,0,0
File,"Apache_Hadoop_YARN_API_3.2.4.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,25332,0,0,0,718,0,0,0,24144,0,0,,,470,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0194665",0,0,0,0,0
File,"Apache_Hadoop_YARN_API_3.3.3.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,26407,0,0,0,727,0,0,0,25200,0,0,,,480,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0190476",0,0,0,0,0
File,"Apache_Hadoop_YARN_API_3.3.4.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,26407,0,0,0,727,0,0,0,25200,0,0,,,480,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0190476",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client.2.6.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2427,0,0,0,103,0,0,0,2258,0,0,,,66,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0292294",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_2.10.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2832,0,0,0,157,0,0,0,2649,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00981502",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_2.10.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2832,0,0,0,157,0,0,0,2649,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00981502",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_2.7.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,1972,0,0,0,93,0,0,0,1855,0,0,,,24,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.012938",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_2.8.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2316,0,0,0,115,0,0,0,2177,0,0,,,24,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0110243",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_2.8.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2316,0,0,0,115,0,0,0,2177,0,0,,,24,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0110243",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_2.8.3.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2316,0,0,0,115,0,0,0,2177,0,0,,,24,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0110243",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_3.1.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,3146,0,0,0,164,0,0,0,2954,0,0,,,28,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00947867",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_3.1.1.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2920,0,0,0,155,0,0,0,2739,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00949252",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_3.1.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2947,0,0,0,157,0,0,0,2764,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00940666",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_3.2.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,3006,0,0,0,160,0,0,0,2820,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00921986",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_3.2.4.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,3006,0,0,0,160,0,0,0,2820,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00921986",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_3.3.3.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,3067,0,0,0,164,0,0,0,2877,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00903719",0,0,0,0,0
File,"Apache_Hadoop_YARN_Client_3.3.4.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,3067,0,0,0,164,0,0,0,2877,0,0,,,26,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.00903719",0,0,0,0,0
File,"Apache_Hadoop_YARN_Common_2.10.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2936,0,0,0,76,0,0,0,2750,0,0,,,110,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.04",0,0,0,0,0
File,"Apache_Hadoop_YARN_Common_2.10.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2936,0,0,0,76,0,0,0,2750,0,0,,,110,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.04",0,0,0,0,0
File,"Apache_Hadoop_YARN_Common_2.6.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2870,0,0,0,54,0,0,0,2668,0,0,,,148,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0554723",0,0,0,0,0
File,"Apache_Hadoop_YARN_Common_2.7.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2308,0,0,0,63,0,0,0,2145,0,0,,,100,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.04662",0,0,0,0,0
